               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  82,            0.020265,            0.021276,           0.0014665,             0.99718,             0.99752,              0.9946,             0.82476,            0.017886,            0.013005,           0.0014197,           0.0084759,           0.0084759,           0.0084759
                  83,             0.02056,            0.021385,           0.0015024,              0.9968,             0.99753,             0.99493,             0.83181,            0.017659,            0.012718,            0.001462,           0.0084404,           0.0084404,           0.0084404
                  84,            0.019896,            0.022735,           0.0014783,             0.99728,             0.99753,             0.99485,             0.84268,            0.017109,            0.012284,           0.0014191,           0.0084046,           0.0084046,           0.0084046
                  85,            0.020234,            0.021509,           0.0015143,             0.99723,             0.99753,             0.99448,              0.8528,            0.016966,            0.012473,           0.0013957,           0.0083684,           0.0083684,           0.0083684
                  86,            0.020173,            0.021778,           0.0014987,             0.99705,             0.99753,             0.99426,             0.84178,            0.017963,            0.012217,           0.0013928,           0.0083319,           0.0083319,           0.0083319
                  87,            0.019684,            0.021858,           0.0014717,             0.99739,             0.99753,             0.99423,               0.835,            0.016845,            0.012274,           0.0013718,           0.0082952,           0.0082952,           0.0082952
                  88,            0.020338,            0.020587,           0.0014709,             0.99722,             0.99753,             0.99307,             0.84083,            0.017303,            0.012619,           0.0014068,           0.0082581,           0.0082581,           0.0082581
                  89,            0.020094,             0.02148,           0.0015226,             0.99698,             0.99753,             0.99359,             0.84788,            0.017293,            0.012302,           0.0013932,           0.0082207,           0.0082207,           0.0082207
                  90,            0.020206,            0.021712,           0.0015843,             0.99669,             0.99753,             0.99377,             0.84294,            0.017027,            0.012536,            0.001465,            0.008183,            0.008183,            0.008183
                  91,            0.019151,            0.020465,           0.0015514,             0.99676,             0.99753,             0.99465,              0.8458,            0.017458,            0.012317,           0.0013636,            0.008145,            0.008145,            0.008145
                  92,            0.018934,            0.019483,           0.0014327,             0.99649,             0.99753,             0.99473,             0.85781,            0.016563,            0.012107,           0.0013464,           0.0081068,           0.0081068,           0.0081068
                  93,            0.018422,             0.02031,           0.0013883,             0.99684,             0.99753,             0.99426,             0.85159,            0.016534,            0.012178,           0.0013438,           0.0080682,           0.0080682,           0.0080682
                  94,            0.018452,            0.020591,           0.0013478,              0.9971,             0.99753,             0.99359,               0.847,            0.016933,            0.012263,           0.0013709,           0.0080294,           0.0080294,           0.0080294
                  95,            0.019608,            0.022682,           0.0013965,             0.99651,             0.99753,             0.99381,             0.84517,            0.016913,            0.012453,           0.0014048,           0.0079903,           0.0079903,           0.0079903
                  96,            0.018816,            0.022123,           0.0013261,              0.9971,             0.99753,             0.99483,             0.84718,            0.017433,            0.012508,           0.0013814,           0.0079509,           0.0079509,           0.0079509
                  97,            0.019466,            0.019366,           0.0013547,             0.99727,             0.99753,               0.995,             0.85029,            0.017309,            0.012222,           0.0014135,           0.0079112,           0.0079112,           0.0079112
                  98,            0.018921,            0.020924,           0.0014346,             0.99696,             0.99753,             0.99421,             0.84116,            0.016814,            0.012251,           0.0013369,           0.0078713,           0.0078713,           0.0078713
                  99,            0.018947,            0.018949,            0.001369,             0.99718,             0.99753,             0.99456,             0.83726,            0.017655,            0.012444,           0.0013255,           0.0078311,           0.0078311,           0.0078311
                 100,            0.019052,            0.023783,           0.0014807,             0.99678,             0.99753,              0.9948,             0.83623,             0.01701,            0.012576,           0.0013059,           0.0077907,           0.0077907,           0.0077907
                 101,            0.018357,            0.019761,           0.0012978,             0.99676,             0.99752,             0.99453,             0.86444,             0.01675,            0.012161,           0.0013005,             0.00775,             0.00775,             0.00775
                 102,            0.018993,            0.022044,           0.0014687,             0.99695,             0.99753,             0.99448,             0.83938,            0.018068,            0.012798,           0.0013062,           0.0077091,           0.0077091,           0.0077091
                 103,            0.019067,            0.020961,           0.0013336,              0.9968,             0.99753,              0.9948,             0.84876,            0.017528,            0.012453,           0.0012865,           0.0076679,           0.0076679,           0.0076679
                 104,            0.019765,            0.022419,           0.0015088,             0.99686,             0.99753,             0.99473,             0.82798,            0.017397,            0.012424,           0.0013385,           0.0076265,           0.0076265,           0.0076265
                 105,            0.018525,            0.022651,           0.0014006,             0.99743,             0.99753,             0.99473,             0.84312,            0.016691,            0.011828,           0.0012889,           0.0075848,           0.0075848,           0.0075848
                 106,            0.018261,            0.022436,           0.0013528,             0.99671,             0.99753,             0.99475,             0.85658,            0.016389,            0.012019,           0.0012917,            0.007543,            0.007543,            0.007543
                 107,            0.019278,            0.020575,           0.0013455,             0.99714,             0.99753,             0.99456,             0.84575,            0.017121,            0.012261,           0.0013909,           0.0075009,           0.0075009,           0.0075009
                 108,            0.019084,            0.019601,           0.0013154,             0.99734,             0.99753,             0.99401,              0.8542,            0.016502,            0.012402,           0.0014143,           0.0074585,           0.0074585,           0.0074585
